job_id,job_title,company_id,company_name,location,experience_level,salary_lpa,posted_date
35,Data Analyst,6,Capgemini,Mumbai,0-2 Years,13.49,2025-09-18
36,Data Analyst,13,Flipkart,Mumbai,5+ Years,23.03,2025-03-06
37,Data Analyst,3,Wipro,Mumbai,0-2 Years,12.75,2025-12-05
38,Data Analyst,3,Wipro,Bangalore,0-2 Years,10.65,2025-04-16
39,Data Analyst,11,Amazon,Bangalore,0-2 Years,11.41,2025-06-26
40,Data Analyst,15,KPMG,Mumbai,0-2 Years,12.74,2025-01-01
41,Data Analyst,7,Cognizant,Bangalore,2-5 Years,18.89,2025-12-20
42,Data Analyst,2,Infosys,Kolkata,2-5 Years,16.21,2025-08-16
43,Data Analyst,7,Cognizant,Hyderabad,0-2 Years,11.86,2025-08-07
44,Data Analyst,5,Deloitte,Bangalore,2-5 Years,17.64,2025-12-11
45,Data Analyst,12,Microsoft,Hyderabad,0-2 Years,10.23,2025-02-07
46,Data Analyst,2,Infosys,Delhi NCR,0-2 Years,10.14,2025-03-03
47,Data Analyst,4,Accenture,Bangalore,Fresher,8.45,2025-02-21
48,Data Analyst,4,Accenture,Mumbai,5+ Years,25.77,2025-03-08
49,Data Analyst,3,Wipro,Kolkata,2-5 Years,16.41,2025-01-13
50,Data Analyst,11,Amazon,Jaipur,2-5 Years,13.88,2025-06-09
51,Data Analyst,7,Cognizant,Mumbai,0-2 Years,12.89,2025-03-20
52,Data Analyst,8,IBM,Mumbai,0-2 Years,12.04,2025-08-11
53,Data Analyst,15,KPMG,Delhi NCR,2-5 Years,15.19,2025-01-19
54,Data Analyst,13,Flipkart,Ahmedabad,2-5 Years,16.73,2025-04-04
55,Data Analyst,11,Amazon,Pune,2-5 Years,17.74,2025-06-04
56,Data Analyst,3,Wipro,Jaipur,0-2 Years,12.12,2025-10-09
57,Data Analyst,9,HCL,Hyderabad,0-2 Years,10.99,2025-11-17
58,Data Analyst,5,Deloitte,Jaipur,2-5 Years,15.63,2025-11-30
59,Data Analyst,2,Infosys,Ahmedabad,2-5 Years,16.4,2025-12-06
60,Data Analyst,10,Tech Mahindra,Kolkata,5+ Years,24.17,2025-12-31
61,Data Analyst,8,IBM,Chennai,0-2 Years,10.92,2025-08-02
62,Data Analyst,12,Microsoft,Bangalore,2-5 Years,17.78,2025-03-15
63,Data Analyst,13,Flipkart,Pune,2-5 Years,15.17,2025-09-18
64,Data Analyst,5,Deloitte,Chennai,5+ Years,22.06,2025-08-13
65,Data Analyst,1,TCS,Kolkata,2-5 Years,16.98,2025-06-17
66,Data Analyst,13,Flipkart,Mumbai,5+ Years,26.13,2025-12-11
67,Data Analyst,11,Amazon,Ahmedabad,0-2 Years,10.91,2025-08-29
68,Data Analyst,5,Deloitte,Hyderabad,0-2 Years,13.2,2025-03-02
69,Data Analyst,7,Cognizant,Ahmedabad,Fresher,7.43,2025-06-28
70,Data Analyst,2,Infosys,Chennai,0-2 Years,10.73,2025-04-11
71,Data Analyst,14,PwC,Hyderabad,0-2 Years,12.43,2025-08-18
72,Data Analyst,7,Cognizant,Kolkata,2-5 Years,17.85,2025-07-08
73,Data Analyst,8,IBM,Kolkata,0-2 Years,10.96,2025-04-15
74,Data Analyst,4,Accenture,Jaipur,2-5 Years,17.88,2025-08-30
75,Data Analyst,14,PwC,Delhi NCR,5+ Years,19.86,2025-08-26
76,Data Analyst,15,KPMG,Delhi NCR,Fresher,7.99,2025-08-27
77,Data Analyst,3,Wipro,Mumbai,2-5 Years,17.6,2025-08-02
78,Data Analyst,4,Accenture,Kolkata,2-5 Years,15.64,2025-10-26
79,Data Analyst,12,Microsoft,Pune,Fresher,7.61,2025-06-05
80,Data Analyst,5,Deloitte,Mumbai,0-2 Years,10.11,2025-06-08
81,Data Analyst,13,Flipkart,Chennai,2-5 Years,16.24,2025-06-16
82,Data Analyst,4,Accenture,Hyderabad,0-2 Years,12.43,2025-03-30
83,Data Analyst,11,Amazon,Hyderabad,0-2 Years,13.77,2025-12-11
84,Data Analyst,10,Tech Mahindra,Ahmedabad,0-2 Years,10.38,2025-11-04
85,Data Analyst,12,Microsoft,Ahmedabad,0-2 Years,10.03,2025-10-28
86,Data Analyst,15,KPMG,Hyderabad,Fresher,7.4,2025-12-25
87,Data Analyst,9,HCL,Mumbai,2-5 Years,18.6,2025-02-09
88,Data Analyst,10,Tech Mahindra,Mumbai,5+ Years,24.89,2025-12-31
89,Data Analyst,2,Infosys,Pune,0-2 Years,10.86,2025-08-12
90,Data Analyst,3,Wipro,Ahmedabad,2-5 Years,16.62,2025-06-04
91,Data Analyst,6,Capgemini,Hyderabad,0-2 Years,12.12,2025-12-26
92,Data Analyst,11,Amazon,Chennai,0-2 Years,12.66,2025-07-18
93,Data Analyst,12,Microsoft,Ahmedabad,2-5 Years,15.16,2025-12-12
94,Data Analyst,5,Deloitte,Chennai,2-5 Years,16.11,2025-07-22
95,Data Analyst,10,Tech Mahindra,Mumbai,0-2 Years,12.03,2025-08-16
96,Data Analyst,1,TCS,Mumbai,Fresher,6.74,2025-05-19
97,Data Analyst,3,Wipro,Delhi NCR,2-5 Years,16.36,2025-01-29
98,Data Analyst,12,Microsoft,Ahmedabad,5+ Years,23.31,2025-02-17
99,Data Analyst,1,TCS,Bangalore,0-2 Years,13.01,2025-08-08
100,Data Analyst,14,PwC,Pune,5+ Years,23.22,2025-12-19
101,Data Analyst,8,IBM,Jaipur,2-5 Years,14.3,2025-04-09
102,Data Analyst,4,Accenture,Bangalore,2-5 Years,17.5,2025-04-10
103,Data Analyst,3,Wipro,Mumbai,0-2 Years,12.09,2025-11-21
104,Data Analyst,12,Microsoft,Bangalore,0-2 Years,12.04,2025-10-17
105,Data Analyst,11,Amazon,Hyderabad,0-2 Years,11.81,2025-06-05
106,Data Analyst,5,Deloitte,Ahmedabad,0-2 Years,11.48,2025-05-11
107,Data Analyst,9,HCL,Hyderabad,2-5 Years,19.26,2025-08-11
108,Data Analyst,11,Amazon,Mumbai,0-2 Years,12.71,2025-11-30
109,Data Analyst,7,Cognizant,Pune,5+ Years,23.81,2025-07-13
110,Data Analyst,4,Accenture,Bangalore,2-5 Years,17.91,2025-04-15
111,Data Analyst,12,Microsoft,Pune,2-5 Years,14.2,2025-06-17
112,Data Analyst,13,Flipkart,Kolkata,2-5 Years,15.97,2025-02-26
113,Data Analyst,7,Cognizant,Hyderabad,0-2 Years,12.07,2025-03-09
114,Data Analyst,4,Accenture,Ahmedabad,Fresher,9.96,2025-04-22
115,Data Analyst,10,Tech Mahindra,Mumbai,Fresher,8.27,2025-02-02
116,Data Analyst,9,HCL,Pune,0-2 Years,11.86,2025-02-13
117,Data Analyst,11,Amazon,Delhi NCR,0-2 Years,10.96,2025-03-01
118,Data Analyst,2,Infosys,Jaipur,2-5 Years,14.6,2025-05-06
119,Data Analyst,1,TCS,Hyderabad,2-5 Years,18.37,2025-02-25
120,Data Analyst,14,PwC,Jaipur,2-5 Years,16.9,2025-10-09
121,Data Analyst,14,PwC,Delhi NCR,Fresher,7.95,2025-08-17
122,Data Analyst,5,Deloitte,Kolkata,2-5 Years,14.91,2025-08-26
123,Data Analyst,12,Microsoft,Jaipur,5+ Years,24.68,2025-11-20
124,Data Analyst,2,Infosys,Ahmedabad,2-5 Years,14.32,2025-07-22
125,Data Analyst,11,Amazon,Jaipur,0-2 Years,11.7,2025-09-28
126,Data Analyst,8,IBM,Kolkata,Fresher,9.63,2025-08-25
127,Data Analyst,2,Infosys,Delhi NCR,0-2 Years,9.81,2025-12-18
128,Data Analyst,13,Flipkart,Bangalore,0-2 Years,12.32,2025-05-31
129,Data Analyst,14,PwC,Pune,0-2 Years,11.62,2025-03-09
130,Data Analyst,4,Accenture,Kolkata,5+ Years,22.4,2025-03-23
131,Data Analyst,14,PwC,Mumbai,0-2 Years,10.64,2025-06-01
132,Data Analyst,14,PwC,Bangalore,0-2 Years,13.08,2025-03-14
133,Data Analyst,14,PwC,Pune,Fresher,6.23,2025-03-04
134,Data Analyst,1,TCS,Hyderabad,0-2 Years,12.57,2025-12-09
135,Data Analyst,12,Microsoft,Delhi NCR,0-2 Years,9.9,2025-11-04
136,Data Analyst,4,Accenture,Delhi NCR,2-5 Years,17.86,2025-07-26
137,Data Analyst,12,Microsoft,Delhi NCR,2-5 Years,15.06,2025-04-26
138,Data Analyst,1,TCS,Mumbai,0-2 Years,12.11,2025-12-05
139,Data Analyst,2,Infosys,Jaipur,2-5 Years,16.98,2025-12-01
140,Data Analyst,3,Wipro,Delhi NCR,0-2 Years,9.52,2025-12-13
141,Data Analyst,7,Cognizant,Hyderabad,Fresher,8.27,2025-07-28
142,Data Analyst,12,Microsoft,Pune,5+ Years,25.07,2025-12-11
143,Data Analyst,15,KPMG,Kolkata,5+ Years,21.07,2025-02-21
144,Data Analyst,5,Deloitte,Jaipur,0-2 Years,11.22,2025-10-09
145,Data Analyst,1,TCS,Hyderabad,0-2 Years,12.31,2025-02-13
146,Data Analyst,1,TCS,Pune,0-2 Years,12.44,2025-10-07
147,Data Analyst,15,KPMG,Ahmedabad,5+ Years,21.52,2025-03-28
148,Data Analyst,9,HCL,Bangalore,0-2 Years,11.42,2025-11-19
149,Data Analyst,10,Tech Mahindra,Bangalore,Fresher,9.63,2025-10-27
150,Data Analyst,15,KPMG,Mumbai,0-2 Years,12.86,2025-10-15
151,Data Analyst,12,Microsoft,Chennai,2-5 Years,16.8,2025-01-29
152,Data Analyst,14,PwC,Delhi NCR,5+ Years,23.42,2025-02-05
153,Data Analyst,3,Wipro,Chennai,2-5 Years,15.68,2025-12-07
154,Data Analyst,1,TCS,Ahmedabad,5+ Years,23.28,2025-05-03
155,Data Analyst,1,TCS,Bangalore,5+ Years,25.35,2025-03-22
156,Data Analyst,12,Microsoft,Mumbai,0-2 Years,11.64,2025-04-05
157,Data Analyst,5,Deloitte,Hyderabad,2-5 Years,19.24,2025-02-04
158,Data Analyst,3,Wipro,Ahmedabad,2-5 Years,16.57,2025-01-28
159,Data Analyst,14,PwC,Kolkata,2-5 Years,14.57,2025-04-18
160,Data Analyst,8,IBM,Jaipur,2-5 Years,16.79,2025-02-17
161,Data Analyst,6,Capgemini,Jaipur,0-2 Years,9.83,2025-03-10
162,Data Analyst,9,HCL,Delhi NCR,0-2 Years,11.94,2025-09-09
163,Data Analyst,7,Cognizant,Kolkata,2-5 Years,17.39,2025-08-19
164,Data Analyst,8,IBM,Chennai,2-5 Years,15.52,2025-06-11
165,Data Analyst,10,Tech Mahindra,Kolkata,2-5 Years,17.16,2025-04-05
166,Data Analyst,7,Cognizant,Jaipur,Fresher,7.5,2025-05-24
167,Data Analyst,15,KPMG,Chennai,0-2 Years,12.49,2025-11-11
168,Data Analyst,3,Wipro,Kolkata,0-2 Years,13.28,2025-12-11
169,Data Analyst,13,Flipkart,Bangalore,2-5 Years,17.71,2025-07-14
170,Data Analyst,1,TCS,Bangalore,5+ Years,24.1,2025-03-30
171,Data Analyst,6,Capgemini,Kolkata,2-5 Years,14.93,2025-02-05
172,Data Analyst,11,Amazon,Delhi NCR,0-2 Years,10.02,2025-07-13
173,Data Analyst,4,Accenture,Kolkata,0-2 Years,10.91,2025-10-12
174,Data Analyst,13,Flipkart,Chennai,2-5 Years,16.91,2025-08-22
175,Data Analyst,14,PwC,Pune,0-2 Years,11.83,2025-03-24
176,Data Analyst,1,TCS,Bangalore,2-5 Years,18.99,2025-03-08
177,Data Analyst,8,IBM,Pune,2-5 Years,16.52,2025-09-01
178,Data Analyst,6,Capgemini,Bangalore,Fresher,10.74,2025-09-17
179,Data Analyst,12,Microsoft,Jaipur,0-2 Years,10.68,2025-01-10
180,Data Analyst,3,Wipro,Bangalore,0-2 Years,16.26,2025-03-31
181,Data Analyst,13,Flipkart,Kolkata,0-2 Years,11.75,2025-12-29
182,Data Analyst,9,HCL,Chennai,0-2 Years,10.47,2025-12-04
183,Data Analyst,14,PwC,Hyderabad,2-5 Years,15.71,2025-12-30
184,Data Analyst,14,PwC,Pune,2-5 Years,17.08,2025-07-03
185,Data Analyst,13,Flipkart,Chennai,Fresher,7.23,2025-01-29
186,Data Analyst,9,HCL,Delhi NCR,0-2 Years,11.86,2025-04-15
187,Data Analyst,10,Tech Mahindra,Chennai,0-2 Years,12.07,2025-08-17
188,Data Analyst,11,Amazon,Delhi NCR,0-2 Years,10.91,2025-04-28
189,Data Analyst,10,Tech Mahindra,Delhi NCR,0-2 Years,9.98,2025-09-05
190,Data Analyst,2,Infosys,Ahmedabad,Fresher,5.18,2025-05-07
191,Data Analyst,2,Infosys,Jaipur,0-2 Years,10.46,2025-09-06
192,Data Analyst,7,Cognizant,Ahmedabad,0-2 Years,12.03,2025-08-14
193,Data Analyst,9,HCL,Delhi NCR,0-2 Years,11.26,2025-02-26
194,Data Analyst,1,TCS,Hyderabad,0-2 Years,10.51,2025-02-21
195,Data Analyst,11,Amazon,Hyderabad,0-2 Years,12.21,2025-03-02
196,Data Analyst,1,TCS,Chennai,2-5 Years,16.96,2025-05-18
197,Data Analyst,8,IBM,Hyderabad,Fresher,6.94,2025-06-21
198,Data Analyst,14,PwC,Mumbai,2-5 Years,17.68,2025-03-13
199,Data Analyst,7,Cognizant,Delhi NCR,0-2 Years,11.07,2025-10-27
200,Data Analyst,13,Flipkart,Chennai,5+ Years,22.13,2025-07-10
201,Data Analyst,14,PwC,Kolkata,2-5 Years,16.43,2025-05-08
202,Data Analyst,6,Capgemini,Delhi NCR,0-2 Years,11.67,2025-08-18
203,Data Analyst,10,Tech Mahindra,Mumbai,0-2 Years,13.8,2025-10-24
204,Data Analyst,1,TCS,Jaipur,0-2 Years,12.26,2025-06-17
205,Data Analyst,6,Capgemini,Mumbai,0-2 Years,10.85,2025-05-12
206,Data Analyst,10,Tech Mahindra,Pune,Fresher,6.37,2025-08-06
207,Data Analyst,10,Tech Mahindra,Mumbai,2-5 Years,18.12,2025-11-08
208,Data Analyst,14,PwC,Kolkata,0-2 Years,11.62,2025-08-15
209,Data Analyst,12,Microsoft,Jaipur,2-5 Years,16.62,2025-05-06
210,Data Analyst,6,Capgemini,Jaipur,5+ Years,27.62,2025-08-31
211,Data Analyst,11,Amazon,Kolkata,2-5 Years,16.69,2025-07-24
212,Data Analyst,12,Microsoft,Jaipur,0-2 Years,12.36,2025-12-01
213,Data Analyst,3,Wipro,Hyderabad,2-5 Years,18.14,2025-10-31
214,Data Analyst,12,Microsoft,Chennai,5+ Years,24.28,2025-01-23
215,Data Analyst,12,Microsoft,Jaipur,0-2 Years,10.62,2025-08-16
216,Data Analyst,3,Wipro,Delhi NCR,0-2 Years,11.91,2025-08-26
217,Data Analyst,1,TCS,Delhi NCR,0-2 Years,10.07,2025-04-06
218,Data Analyst,12,Microsoft,Pune,Fresher,7.22,2025-12-27
219,Data Analyst,4,Accenture,Hyderabad,2-5 Years,16.42,2025-11-29
220,Data Analyst,5,Deloitte,Bangalore,2-5 Years,18.1,2025-03-28
221,Data Analyst,1,TCS,Ahmedabad,2-5 Years,18.78,2025-07-16
222,Data Analyst,12,Microsoft,Bangalore,5+ Years,22.76,2025-04-04
223,Data Analyst,13,Flipkart,Kolkata,0-2 Years,11.82,2025-02-09
224,Data Analyst,4,Accenture,Delhi NCR,0-2 Years,9.06,2025-03-09
225,Data Analyst,12,Microsoft,Mumbai,0-2 Years,11.93,2025-08-15
226,Data Analyst,13,Flipkart,Hyderabad,5+ Years,25.31,2025-01-31
227,Data Analyst,2,Infosys,Mumbai,0-2 Years,12.58,2025-10-30
228,Data Analyst,6,Capgemini,Mumbai,0-2 Years,11.21,2025-10-28
229,Data Analyst,3,Wipro,Hyderabad,Fresher,7.14,2025-03-26
230,Data Analyst,4,Accenture,Jaipur,0-2 Years,11.82,2025-12-30
231,Data Analyst,6,Capgemini,Ahmedabad,Fresher,6.12,2025-04-04
232,Data Analyst,15,KPMG,Chennai,2-5 Years,16.76,2025-11-01
233,Data Analyst,9,HCL,Jaipur,2-5 Years,16.05,2025-06-07
234,Data Analyst,14,PwC,Delhi NCR,0-2 Years,10.22,2025-10-08
235,Data Analyst,2,Infosys,Kolkata,0-2 Years,13.57,2025-10-24
236,Data Analyst,1,TCS,Delhi NCR,0-2 Years,11.76,2025-10-25
237,Data Analyst,2,Infosys,Pune,0-2 Years,9.07,2025-03-21
238,Data Analyst,2,Infosys,Delhi NCR,2-5 Years,16.22,2025-04-05
239,Data Analyst,5,Deloitte,Kolkata,2-5 Years,15.21,2025-11-03
240,Data Analyst,11,Amazon,Mumbai,Fresher,9.52,2025-06-13
241,Data Analyst,14,PwC,Chennai,0-2 Years,10.55,2025-09-30
242,Data Analyst,10,Tech Mahindra,Ahmedabad,0-2 Years,10.86,2025-01-17
243,Data Analyst,1,TCS,Mumbai,5+ Years,25.11,2025-11-01
244,Data Analyst,9,HCL,Jaipur,5+ Years,24.04,2025-11-17
245,Data Analyst,5,Deloitte,Hyderabad,0-2 Years,10.56,2025-08-05
246,Data Analyst,5,Deloitte,Ahmedabad,0-2 Years,10.6,2025-02-08
247,Data Analyst,1,TCS,Mumbai,0-2 Years,11.93,2025-04-25
248,Data Analyst,2,Infosys,Kolkata,5+ Years,22.22,2025-12-23
249,Data Analyst,7,Cognizant,Bangalore,2-5 Years,20.12,2025-04-30
250,Data Analyst,3,Wipro,Delhi NCR,2-5 Years,16.49,2025-06-06
251,Data Analyst,4,Accenture,Mumbai,0-2 Years,10.99,2025-10-03
252,Data Analyst,15,KPMG,Kolkata,2-5 Years,17.1,2025-03-02
253,Data Analyst,1,TCS,Bangalore,5+ Years,27.55,2025-05-19
254,Data Analyst,11,Amazon,Kolkata,2-5 Years,17.24,2025-12-04
255,Data Analyst,9,HCL,Chennai,0-2 Years,9.68,2025-06-21
256,Data Analyst,1,TCS,Kolkata,2-5 Years,15.42,2025-01-08
257,Data Analyst,9,HCL,Kolkata,Fresher,8.52,2025-04-23
258,Data Analyst,4,Accenture,Delhi NCR,0-2 Years,10.15,2025-08-27
259,Data Analyst,8,IBM,Ahmedabad,Fresher,7.53,2025-12-10
260,Data Analyst,12,Microsoft,Delhi NCR,0-2 Years,11.93,2025-01-14
261,Data Analyst,11,Amazon,Hyderabad,2-5 Years,15.89,2025-04-08
262,Data Analyst,7,Cognizant,Hyderabad,2-5 Years,16.93,2025-05-08
263,Data Analyst,10,Tech Mahindra,Ahmedabad,2-5 Years,12.11,2025-10-23
264,Data Analyst,13,Flipkart,Pune,0-2 Years,10.27,2025-06-13
265,Data Analyst,8,IBM,Delhi NCR,0-2 Years,10.7,2025-01-19
266,Data Analyst,12,Microsoft,Chennai,0-2 Years,10.0,2025-10-06
267,Data Analyst,15,KPMG,Pune,2-5 Years,18.46,2025-07-31
268,Data Analyst,13,Flipkart,Delhi NCR,2-5 Years,14.28,2025-02-02
269,Data Analyst,7,Cognizant,Kolkata,0-2 Years,10.47,2025-04-14
270,Data Analyst,9,HCL,Hyderabad,Fresher,8.16,2025-02-15
271,Data Analyst,1,TCS,Ahmedabad,Fresher,8.73,2025-06-01
272,Data Analyst,2,Infosys,Pune,5+ Years,21.78,2025-11-04
273,Data Analyst,6,Capgemini,Pune,0-2 Years,12.9,2025-08-27
274,Data Analyst,5,Deloitte,Bangalore,0-2 Years,13.01,2025-12-14
275,Data Analyst,3,Wipro,Jaipur,0-2 Years,9.82,2025-02-02
276,Data Analyst,7,Cognizant,Pune,Fresher,8.05,2025-04-01
277,Data Analyst,7,Cognizant,Hyderabad,2-5 Years,17.24,2025-11-04
278,Data Analyst,9,HCL,Bangalore,0-2 Years,12.28,2025-12-19
279,Data Analyst,11,Amazon,Pune,2-5 Years,16.58,2025-10-21
280,Data Analyst,14,PwC,Ahmedabad,0-2 Years,10.54,2025-05-26
281,Data Analyst,8,IBM,Ahmedabad,0-2 Years,11.14,2025-02-08
282,Data Analyst,6,Capgemini,Ahmedabad,0-2 Years,11.79,2025-04-23
283,Data Analyst,3,Wipro,Jaipur,2-5 Years,17.9,2025-02-06
284,Data Analyst,12,Microsoft,Delhi NCR,5+ Years,21.51,2025-04-02
285,Data Analyst,12,Microsoft,Kolkata,Fresher,9.56,2025-02-06
286,Data Analyst,1,TCS,Bangalore,5+ Years,22.66,2025-12-07
287,Data Analyst,4,Accenture,Chennai,0-2 Years,11.32,2025-10-11
288,Data Analyst,13,Flipkart,Bangalore,2-5 Years,18.71,2025-08-13
289,Data Analyst,1,TCS,Delhi NCR,0-2 Years,11.34,2025-01-13
290,Data Analyst,11,Amazon,Hyderabad,Fresher,7.25,2025-08-03
291,Data Analyst,11,Amazon,Hyderabad,Fresher,7.75,2025-10-04
292,Data Analyst,4,Accenture,Delhi NCR,Fresher,6.41,2025-10-03
293,Data Analyst,10,Tech Mahindra,Jaipur,0-2 Years,10.29,2025-03-26
294,Data Analyst,2,Infosys,Hyderabad,2-5 Years,18.02,2025-10-02
295,Data Analyst,5,Deloitte,Chennai,0-2 Years,11.93,2025-10-15
296,Data Analyst,10,Tech Mahindra,Jaipur,Fresher,6.17,2025-07-03
297,Data Analyst,8,IBM,Hyderabad,0-2 Years,13.08,2025-03-22
298,Data Analyst,2,Infosys,Delhi NCR,0-2 Years,11.37,2025-08-28
299,Data Analyst,5,Deloitte,Jaipur,0-2 Years,11.98,2025-05-22
300,Data Analyst,9,HCL,Chennai,2-5 Years,17.26,2025-09-09
301,Data Analyst,12,Microsoft,Pune,0-2 Years,10.51,2025-03-09
302,Data Analyst,15,KPMG,Pune,2-5 Years,15.83,2025-07-06
303,Data Analyst,14,PwC,Chennai,2-5 Years,17.4,2025-08-16
304,Data Analyst,9,HCL,Bangalore,0-2 Years,13.73,2025-09-09
305,Data Analyst,6,Capgemini,Delhi NCR,2-5 Years,15.97,2025-11-02
306,Data Analyst,15,KPMG,Chennai,5+ Years,23.64,2025-02-09
307,Data Analyst,7,Cognizant,Hyderabad,2-5 Years,18.53,2025-02-06
308,Data Analyst,7,Cognizant,Kolkata,Fresher,6.29,2025-03-06
309,Data Analyst,8,IBM,Ahmedabad,0-2 Years,11.66,2025-08-29
310,Data Analyst,4,Accenture,Mumbai,5+ Years,24.26,2025-11-21
311,Data Analyst,13,Flipkart,Chennai,2-5 Years,16.24,2025-01-20
312,Data Analyst,10,Tech Mahindra,Chennai,2-5 Years,17.82,2025-10-19
313,Data Analyst,14,PwC,Delhi NCR,0-2 Years,11.99,2025-03-08
314,Data Analyst,10,Tech Mahindra,Pune,0-2 Years,12.48,2025-07-16
315,Data Analyst,5,Deloitte,Hyderabad,2-5 Years,18.57,2025-08-02
316,Data Analyst,15,KPMG,Hyderabad,2-5 Years,17.03,2025-10-29
317,Data Analyst,2,Infosys,Pune,2-5 Years,17.32,2025-04-04
318,Data Analyst,6,Capgemini,Pune,0-2 Years,11.13,2025-03-26
319,Data Analyst,10,Tech Mahindra,Kolkata,5+ Years,23.39,2025-11-01
320,Data Analyst,8,IBM,Ahmedabad,Fresher,6.84,2025-04-10
321,Data Analyst,14,PwC,Kolkata,0-2 Years,11.12,2025-05-05
322,Data Analyst,6,Capgemini,Bangalore,Fresher,9.71,2025-01-14
323,Data Analyst,4,Accenture,Jaipur,0-2 Years,10.02,2025-02-20
324,Data Analyst,12,Microsoft,Delhi NCR,0-2 Years,13.51,2025-11-03
325,Data Analyst,9,HCL,Bangalore,0-2 Years,11.79,2025-10-24
326,Data Analyst,12,Microsoft,Chennai,0-2 Years,10.04,2025-12-24
327,Data Analyst,14,PwC,Hyderabad,Fresher,9.39,2025-11-06
328,Data Analyst,4,Accenture,Pune,0-2 Years,12.45,2025-08-17
329,Data Analyst,7,Cognizant,Kolkata,5+ Years,23.75,2025-07-06
330,Data Analyst,4,Accenture,Ahmedabad,5+ Years,23.75,2025-07-09
331,Data Analyst,11,Amazon,Jaipur,0-2 Years,10.99,2025-08-11
332,Data Analyst,3,Wipro,Delhi NCR,2-5 Years,14.92,2025-12-07
333,Data Analyst,15,KPMG,Hyderabad,Fresher,8.09,2025-01-20
334,Data Analyst,8,IBM,Bangalore,Fresher,8.19,2025-05-04
335,Data Analyst,12,Microsoft,Hyderabad,Fresher,9.17,2025-05-26
336,Data Analyst,14,PwC,Jaipur,2-5 Years,15.82,2025-12-08
337,Data Analyst,11,Amazon,Jaipur,2-5 Years,15.01,2025-06-08
338,Data Analyst,2,Infosys,Jaipur,2-5 Years,15.61,2025-10-07
339,Data Analyst,2,Infosys,Pune,5+ Years,24.0,2025-01-18
340,Data Analyst,10,Tech Mahindra,Bangalore,0-2 Years,12.32,2025-03-11
341,Data Analyst,9,HCL,Kolkata,5+ Years,22.01,2025-08-10
342,Data Analyst,7,Cognizant,Ahmedabad,0-2 Years,11.29,2025-01-22
343,Data Analyst,4,Accenture,Delhi NCR,0-2 Years,11.29,2025-01-12
344,Data Analyst,13,Flipkart,Mumbai,0-2 Years,11.89,2025-05-17
345,Data Analyst,3,Wipro,Ahmedabad,0-2 Years,10.43,2025-07-29
346,Data Analyst,1,TCS,Chennai,0-2 Years,11.78,2025-09-17
